route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,date
FLIXBUS:431,FLIXBUS,FlixBus,Bergamo - Lecce,,3,,,,2017-02-13
FLIXBUS:432,FLIXBUS,FlixBus,Verona - Bologna - Napoli,,3,,,,2017-02-13
FLIXBUS:481,FLIXBUS,FlixBus,Genua - Venedig,,3,,,,2017-02-13
FLIXBUS:491,FLIXBUS,FlixBus,München - Venedig,,3,,,,2017-02-13
FLIXBUS:492,FLIXBUS,FlixBus,Munich - MIO - Cannes,,3,,,,2017-02-13
FLIXBUS:500,FLIXBUS,FlixBus,Mailand - Rom - Latina,,3,,,,2017-02-13
FLIXBUS:501,FLIXBUS,FlixBus,Turin - FLZ - Neapel,,3,,,,2017-02-13
FLIXBUS:503,FLIXBUS,FlixBus,Torino - La Spezia - Roma,,3,,,,2017-02-13
FLIXBUS:504,FLIXBUS,FlixBus,Turin - Florenz - Ancona,,3,,,,2017-02-13
FLIXBUS:510,FLIXBUS,FlixBus,Genua - Rom,,3,,,,2017-02-13
FLIXBUS:518,FLIXBUS,FlixBus,Milano - Napoli,,3,,,,2017-02-13
FLIXBUS:519,FLIXBUS,FlixBus,Courmayeur - MIO - Rome,,3,,,,2017-02-13
FLIXBUS:520,FLIXBUS,FlixBus,Mailand - Florenz - Rom,,3,,,,2017-02-13
FLIXBUS:522,FLIXBUS,FlixBus,Bergamo - Roma,,3,,,,2017-02-13
FLIXBUS:527,FLIXBUS,FlixBus,Milano - Firenze (Piazzale Montelungo),,3,,,,2017-02-13
FLIXBUS:529,FLIXBUS,FlixBus,Milano - Perugia,,3,,,,2017-02-13
FLIXBUS:530,FLIXBUS,FlixBus,Verona - Rom,,3,,,,2017-02-13
FLIXBUS:531,FLIXBUS,FlixBus,München - Rom,,3,,,,2017-02-13
FLIXBUS:532,FLIXBUS,FlixBus,Bergamo - Neapel,,3,,,,2017-02-13
FLIXBUS:533,FLIXBUS,FlixBus,Vicenza - Roma,,3,,,,2017-02-13
FLIXBUS:534,FLIXBUS,FlixBus,Merano - Roma,,3,,,,2017-02-13
FLIXBUS:539,FLIXBUS,FlixBus,Milano - Roma Tiburtina,,3,,,,2017-02-13
FLIXBUS:540,FLIXBUS,FlixBus,Triest - Rom,,3,,,,2017-02-13
FLIXBUS:543,FLIXBUS,FlixBus,Padova - Neapel - Salerno,,3,,,,2017-02-13
FLIXBUS:550,FLIXBUS,FlixBus,Napoli - Pescara,,3,,,,2017-02-13
FLIXBUS:551,FLIXBUS,FlixBus,Ravenna - Roma,,3,,,,2017-02-13
FLIXBUS:552,FLIXBUS,FlixBus,Roma - Civitanova Marche,,3,,,,2017-02-13
FLIXBUS:554,FLIXBUS,FlixBus,Roma - L'Aquila - Ancona,,3,,,,2017-02-13
FLIXBUS:560,FLIXBUS,FlixBus,Roma - Napoli - Potenza,,3,,,,2017-02-13
FLIXBUS:561,FLIXBUS,FlixBus,Perugia - Neapel - Potenza,,3,,,,2017-02-13
FLIXBUS:562,FLIXBUS,FlixBus,Terni - Taranto,,3,,,,2017-02-13
FLIXBUS:570,FLIXBUS,FlixBus,Roma - Taranto - Lecce,,3,,,,2017-02-13
FLIXBUS:571,FLIXBUS,FlixBus,Napoli - Bari - Matera,,3,,,,2017-02-13
FLIXBUS:572,FLIXBUS,FlixBus,Roma - Lecce,,3,,,,2017-02-13
FLIXBUS:573,FLIXBUS,FlixBus,Rome - Bari - Lecce,,3,,,,2017-02-13
FLIXBUS:574,FLIXBUS,FlixBus,Rom - Caserta - Foggia,,3,,,,2017-02-13
FLIXBUS:576,FLIXBUS,FlixBus,Florenz - Rom - Bari,,3,,,,2017-02-13
FLIXBUS:700,FLIXBUS,FlixBus,Paris - London,,3,,,,2017-02-13
FLIXBUS:701,FLIXBUS,FlixBus,Nantes - Toulouse,,3,,,,2017-02-13
FLIXBUS:702,FLIXBUS,FlixBus,Paris - Rennes - Brest,,3,,,,2017-02-13
FLIXBUS:703,FLIXBUS,FlixBus,Paris - Biarritz,,3,,,,2017-02-13
FLIXBUS:704,FLIXBUS,FlixBus,Paris - Quimper,,3,,,,2017-02-13
FLIXBUS:705,FLIXBUS,FlixBus,Paris - Toulouse,,3,,,,2017-02-13
FLIXBUS:706,FLIXBUS,FlixBus,Grenoble - Lyon - Bordeaux,,3,,,,2017-02-13
FLIXBUS:709,FLIXBUS,FlixBus,Grenoble - Paris,,3,,,,2017-02-13
FLIXBUS:712,FLIXBUS,FlixBus,Nantes - Rennes - Lille,,3,,,,2017-02-13
FLIXBUS:714,FLIXBUS,FlixBus,Angers - Paris,,3,,,,2017-02-13
FLIXBUS:716,FLIXBUS,FlixBus,Toulouse - Lyon,,3,,,,2017-02-13
FLIXBUS:717,FLIXBUS,FlixBus,Paris - Montpellier,,3,,,,2017-02-13
FLIXBUS:718,FLIXBUS,FlixBus,Hyères - Bordeaux,,3,,,,2017-02-13
FLIXBUS:719,FLIXBUS,FlixBus,Paris / Digoin - Lyon - Montelimar / Nice,,3,,,,2017-02-13
FLIXBUS:720,FLIXBUS,FlixBus,Stuttgart - Strasbourg - Grenoble,,3,,,,2017-02-13
FLIXBUS:721,FLIXBUS,FlixBus,Bordeaux - Barcelona,,3,,,,2017-02-13
FLIXBUS:722,FLIXBUS,FlixBus,Ouistreham - Paris,,3,,,,2017-02-13
FLIXBUS:723,FLIXBUS,FlixBus,La Rochelle - Paris,,3,,,,2017-02-13
FLIXBUS:724,FLIXBUS,FlixBus,Nantes - Clermont Ferrand - Grenoble,,3,,,,2017-02-13
FLIXBUS:725,FLIXBUS,FlixBus,Brive-la-Gaillarde - Paris,,3,,,,2017-02-13
FLIXBUS:726,FLIXBUS,FlixBus,Milan - Lyon - Clermont Ferrand,,3,,,,2017-02-13
FLIXBUS:727,FLIXBUS,FlixBus,Clermont-Ferrand - Paris,,3,,,,2017-02-13
FLIXBUS:728,FLIXBUS,FlixBus,Genua - Barcelona,,3,,,,2017-02-13
FLIXBUS:729,FLIXBUS,FlixBus,Venedig - Mailand - Lyon - Paris,,3,,,,2017-02-13
FLIXBUS:732,FLIXBUS,FlixBus,Paris - Le Havre,,3,,,,2017-02-13
FLIXBUS:733,FLIXBUS,FlixBus,Tours - Paris,,3,,,,2017-02-13
